centroid-0,centroid-1,axis_major_length,axis_minor_length,area,perimeter,circularity,maskNumber,skewness,Intensity,ImageOrigin,centroid_row_px,centroid_col_px,centroid_x_m,centroid_y_m,major_m,minor_m,area_m2,diameter_m,ParticleID,global_x_m,global_y_m,sample_x_m,sample_y_m
617.032403240324,672.03600360036,38.538510689923775,36.7335312051692,1111.0,121.98275605729688,0.9382682919950583,8,1.0491371078558485,0.9199024685805024,Caleb August27_y_0.00534605810575_x_-0.005077146381,617.032403240324,672.03600360036,3.500187518751875e-05,3.213710433543354e-05,2.00721409843353e-06,1.913204750269229e-06,3.013780381944444e-12,1.959645771033733e-06,48,-0.005067144505812481,0.005378195194460433,0.0018717847653019304,-0.0012051390115062539
411.30763019782,233.8352846184901,57.35662530395226,55.018266653923305,2477.0,185.09545442950497,0.9085406506543292,12,1.0425014961801276,0.8640607557540705,Caleb August27_y_0.00534605810575_x_-0.005077146381,411.30763019782,233.8352846184901,1.2178921073879691e-05,2.1422272406136452e-05,2.9873242345808467e-06,2.865534721558505e-06,6.719292534722221e-12,2.9257958436542697e-06,49,-0.0050899674599261206,0.005367480362531136,0.0018488604545130879,-0.0012156352409531986
1108.9563827357845,690.6051609956611,78.54754543341876,71.12237186333608,4379.0,246.20815280171308,0.9077786190474944,13,1.1043999711419972,0.6280405364565976,Caleb August27_y_0.00534605810575_x_-0.005077146381,1108.9563827357845,690.6051609956611,3.596901880185734e-05,5.775814493415544e-05,4.0910179913238936e-06,3.704290201215421e-06,1.1878797743055552e-11,3.89285471835992e-06,50,-0.005066177362198143,0.005403816235059155,0.001872996718522177,-0.001179528383682554
102.13397999393756,559.906335253107,65.64396592616642,64.13853006879845,3299.0,213.23759005323592,0.9117266475092008,15,1.0234716301691535,0.7602669705042583,Caleb August27_y_0.00534605810575_x_-0.005077146381,102.13397999393756,559.906335253107,2.9161788294432654e-05,5.319478124684248e-06,3.4189565586545e-06,3.340548441083252e-06,8.949110243055554e-12,3.3795251148859137e-06,51,-0.005072984592705567,0.0053513775682496835,0.0018656886558698347,-0.0012318996008175932
675.3300630693764,298.6577902359262,77.65222057806596,70.36493514950519,4281.0,243.6223663640862,0.9064018375027998,17,1.103564160374445,0.7577868886578426,Caleb August27_y_0.00534605810575_x_-0.005077146381,675.3300630693764,298.6577902359262,1.5555093241454487e-05,3.517344078486335e-05,4.044386488440935e-06,3.6648403723700615e-06,1.1612955729166666e-11,3.8499390754018855e-06,52,-0.005086591287758545,0.005381231530909862,0.0018523678889225794,-0.0012019169657646663
54.88998763906057,407.7441285537701,33.52763628283034,30.751869084957864,809.0,103.49747468305831,0.9490713845471962,18,1.0902633654625642,0.9623552362674532,Caleb August27_y_0.00534605810575_x_-0.005077146381,54.88998763906057,407.7441285537701,2.123667336217552e-05,2.8588535228677383e-06,1.7462310563974136e-06,1.6016598481748885e-06,2.194552951388889e-12,1.6723839776402295e-06,53,-0.005080909707637824,0.005348916943647867,0.0018577403872878887,-0.0012342843747418465
230.6382978723404,852.4089834515366,24.578188925613027,21.92732079969637,423.0,75.11269837220809,0.9421574864606188,22,1.1208933891254675,0.939397778860825,Caleb August27_y_0.00534605810575_x_-0.005077146381,230.6382978723404,852.4089834515366,4.43963012214342e-05,1.201241134751773e-05,1.280114006542345e-06,1.1420479583175191e-06,1.1474609374999998e-12,1.2091119003571772e-06,54,-0.0050577500797785654,0.0053580705014725175,0.0018809864357478125,-0.0012253525656066573
666.7334851936218,147.15489749430523,25.9374740945894,21.631527069362,439.0,76.76955262170047,0.93604421762137,27,1.1990588556887491,0.9555628124536736,Caleb August27_y_0.00534605810575_x_-0.005077146381,666.7334851936218,147.15489749430523,7.664317577828396e-06,3.472570235383447e-05,1.3509101090931975e-06,1.126642034862604e-06,1.1908637152777777e-12,1.233690445057115e-06,55,-0.005094482063422171,0.0053807837924788335,0.0018444731946825658,-0.0012022892736117383
345.5958005249344,1008.8320209973754,23.354048006995367,20.81125265208148,381.0,71.11269837220809,0.9467613563732612,28,1.1221836761786448,0.9518539261980744,Caleb August27_y_0.00534605810575_x_-0.005077146381,345.5958005249344,1008.8320209973754,5.254333442694663e-05,1.799978127734033e-05,1.2163566670310086e-06,1.0839194089625771e-06,1.0335286458333329e-12,1.148230203232758e-06,56,-0.005049603046573053,0.005364057871402339,0.0018891903166773404,-0.0012194433282258798
1143.889256198347,1885.0842975206613,30.131693456430792,25.710708795165143,605.0,91.01219330881976,0.9178380914462384,30,1.1719511000839078,0.9470310265561052,Caleb August27_y_0.00534605810575_x_-0.005077146381,1143.889256198347,1885.0842975206613,9.81814738292011e-05,5.9577565426997245e-05,1.5693590341891035e-06,1.339099416414851e-06,1.641167534722222e-12,1.4496647084163988e-06,57,-0.005003964907170799,0.005405635655551997,0.0019352237202488018,-0.0011783035948951678
